Subject,Start Date,End Date,Start Time,End Time,Description
K213-システム科学方法論,2021/07/08,2021/07/08,18:30:00,21:55:00,講師: 林・LAM
K213-システム科学方法論,2021/07/09,2021/07/09,18:30:00,21:55:00,講師: 林・LAM
I411-認識処理工学特論,2021/07/10,2021/07/10,09:20:00,12:50:00,講師: 小谷
I485F-知覚情報処理特論,2021/07/10,2021/07/10,09:20:00,12:50:00,講師: 鵜木
K213-システム科学方法論,2021/07/10,2021/07/10,09:20:00,17:20:00,講師: 林・LAM
I213-離散信号処理特論,2021/07/10,2021/07/10,13:50:00,17:20:00,講師: 浅野
I473F-集積回路特論,2021/07/10,2021/07/10,13:50:00,17:20:00,講師: 金子(峰)
I226-コンピュータネットワーク特論,2021/07/11,2021/07/11,09:20:00,12:50:00,講師: 丹
K422-知的財産マネジメント論,2021/07/11,2021/07/11,09:20:00,17:20:00,講師: 外川
I443-ソフトウェア検証論,2021/07/11,2021/07/11,13:50:00,17:20:00,講師: 青木
K213-システム科学方法論,2021/07/16,2021/07/16,18:30:00,21:55:00,講師: 林・LAM
I411-認識処理工学特論,2021/07/17,2021/07/17,09:20:00,12:50:00,講師: 小谷
I485F-知覚情報処理特論,2021/07/17,2021/07/17,09:20:00,12:50:00,講師: 鵜木
K213-システム科学方法論,2021/07/17,2021/07/17,09:20:00,17:20:00,講師: 林・LAM
I213-離散信号処理特論,2021/07/17,2021/07/17,13:50:00,15:30:00,講師: 浅野
I473F-集積回路特論,2021/07/17,2021/07/17,13:50:00,17:20:00,講師: 金子(峰)
I226-コンピュータネットワーク特論,2021/07/18,2021/07/18,09:20:00,12:50:00,講師: 丹
K496-ディープテックマネジメント特論,2021/07/18,2021/07/18,09:20:00,12:50:00,"講師: 
佐藤(治)"
I443-ソフトウェア検証論,2021/07/18,2021/07/18,13:50:00,17:20:00,講師: 青木
K211-社会科学方法論,2021/07/18,2021/07/18,13:50:00,17:20:00,講師: 伊藤
K496-ディープテックマネジメント特論,2021/07/24,2021/07/24,13:50:00,17:20:00,"講師: 
佐藤(治)"
K496-ディープテックマネジメント特論,2021/07/25,2021/07/25,13:50:00,17:20:00,"講師: 
内平"
K627-先端医療・介護サービス知識科学特論,2021/08/09,2021/08/09,09:20:00,17:20:00,講師: 池田（満）・伊藤
K627-先端医療・介護サービス知識科学特論,2021/08/23,2021/08/23,18:30:00,21:55:00,講師: 内平
K627-先端医療・介護サービス知識科学特論,2021/08/24,2021/08/24,18:30:00,21:55:00,講師: 藤波
K627-先端医療・介護サービス知識科学特論,2021/08/25,2021/08/25,18:30:00,21:55:00,講師: 金井・池田（満）
K630-価値創造実践論,2021/08/26,2021/08/26,18:30:00,21:55:00,講師: 神田
K630-価値創造実践論,2021/08/27,2021/08/27,18:30:00,21:55:00,講師: 神田
K630-価値創造実践論,2021/08/28,2021/08/28,09:20:00,17:20:00,講師: 神田
K432-研究・イノベーション政策論,2021/08/30,2021/08/30,18:30:00,21:55:00,講師: 平澤
K432-研究・イノベーション政策論,2021/08/31,2021/08/31,18:30:00,21:55:00,講師: 平澤
K432-研究・イノベーション政策論,2021/09/01,2021/09/01,18:30:00,21:55:00,講師: 平澤
K432-研究・イノベーション政策論,2021/09/02,2021/09/02,18:30:00,21:55:00,講師: 平澤
K432-研究・イノベーション政策論,2021/09/03,2021/09/03,18:30:00,21:55:00,講師: 平澤
K432-研究・イノベーション政策論,2021/09/04,2021/09/04,09:20:00,17:20:00,講師: 平澤
I235-ゲーム情報学特論,2021/09/04,2021/09/04,13:50:00,17:20:00,講師: 飯田・池田(心)
I226-コンピュータネットワーク特論,2021/09/05,2021/09/05,09:20:00,12:50:00,講師: 丹
I235-ゲーム情報学特論,2021/09/05,2021/09/05,13:50:00,17:20:00,講師: 飯田・池田(心)
I443-ソフトウェア検証論,2021/09/05,2021/09/05,13:50:00,17:20:00,講師: 青木
K433-技術経営改革実践論,2021/09/06,2021/09/06,18:30:00,21:55:00,講師: 野元
